barcode,window_k,raw_expected_cycle_count,raw_valid_count,raw_valid_ratio,raw_charge_v_mean_mean,raw_charge_v_p95_mean,raw_charge_v_p95_slope
EL150800440551,5,4,4,1,3.44073714475466,3.600354575,1.84999999965175e-06
EL150800453113,5,4,4,1,3.353302490631,3.600245285,-3.03400000010638e-06
EL150800453773,5,4,4,1,3.36340811733302,3.6000615725,-6.5960000001221e-06
EL150800460466,5,4,4,1,3.39481088674787,3.600145125,-1.70699999998286e-05
EL150800460478,5,4,4,1,3.40673283457956,3.60029306,1.12139999998216e-05
EL150800460485,5,4,4,1,3.37485568976311,3.60005604875,9.43500000179538e-07
EL150800460486,5,4,4,1,3.33325824830481,3.60028157625,4.38499999351957e-07
EL150800460498,5,4,4,1,3.42463361313936,3.6001196825,-9.01199999985747e-06
EL150800460501,5,4,4,1,3.43605027964623,3.6003642375,-1.41500000025324e-06
EL150800460506,5,4,4,1,3.36020708848698,3.6002847,1.75999999970492e-06
EL150800460507,5,4,4,1,3.3556134355983,3.60011343125,-1.75850000011174e-06
EL150800460511,5,4,4,1,3.41897788407576,3.60030513625,3.45450000010867e-06
EL150800460513,5,4,4,1,3.43186778330967,3.60006425,-2.72599999998631e-05
EL150800460518,5,4,4,1,3.41696620895149,3.600153955,-1.7538000000288e-05
EL150800460522,5,4,4,1,3.35426503086277,3.6002891625,7.4499999998712e-07
EL150800460525,5,4,4,1,3.37292036953616,3.60029679125,3.55049999980253e-06
EL150800460602,5,4,4,1,3.39350140382428,3.6002164775,-1.44490000003418e-05
EL150800460603,5,4,4,1,3.40731500431101,3.60028520875,3.51549999973064e-06
EL150800460604,5,4,4,1,3.41892425152122,3.60017965375,-1.33150000038854e-06
EL150800460608,5,4,4,1,3.41141134216925,3.6001793775,5.02099999965628e-06
EL150800460611,5,4,4,1,3.4034163638991,3.6002908325,-5.82800000011968e-06
EL150800460613,5,4,4,1,3.40239597427463,3.600119615,-9.83500000033458e-06
EL150800460614,5,4,4,1,3.40269693897336,3.6002872025,-5.68500000032919e-06
EL150800460615,5,4,4,1,3.35765634126121,3.6002974375,7.53099999975629e-06
EL150800460618,5,4,4,1,3.37403280345613,3.6000563075,-1.01250000005708e-05
EL150800460627,5,4,4,1,3.41500257625102,3.6003064175,1.14650000000094e-05
EL150800460628,5,4,4,1,3.41095999469045,3.60031139125,3.41249999964544e-06
EL150800460630,5,4,4,1,3.36046990893109,3.60017251,-2.94600000005019e-06
EL150800460634,5,4,4,1,3.47623994680364,3.60005777,-0.000106276999999904
EL150800460640,5,4,4,1,3.35724682141152,3.6001599475,1.2204999999898e-05
EL150800460641,5,4,4,1,3.40572238958406,3.60030637875,-7.32450000042902e-06
EL150800460655,5,4,4,1,3.41657015609228,3.60028164625,5.09849999985388e-06
EL150800460659,5,4,4,1,3.35494708445414,3.60028311625,-2.88050000040387e-06
EL150800463208,5,4,4,1,3.43040352418775,3.60027334,-9.39600000021264e-06
EL150800463229,5,4,4,1,3.37277810103752,3.60007376,7.85399999966406e-06
EL150800463871,5,4,4,1,3.35026636891988,3.60024228875,7.12449999960243e-06
EL150800463882,5,4,4,1,3.35796713475692,3.60022155625,-1.04685000002478e-05
EL150800464881,5,4,4,1,3.35775476077111,3.60027468125,3.3124999998423e-06
EL150800464883,5,4,4,1,3.34732170333796,3.60028239125,1.44349999964577e-06
EL150800464977,5,4,4,1,3.34794933569096,3.6002643275,1.28949999999512e-05
EL150800465027,5,4,4,1,3.35746960329417,3.6002002125,-9.80300000025652e-06
