barcode,window_k,raw_expected_cycle_count,raw_valid_count,raw_valid_ratio,raw_charge_v_mean_mean,raw_charge_v_p95_mean,raw_charge_v_p95_slope
EL150800440551,50,49,49,1,3.43699717482977,3.60035342306122,1.38628061236639e-07
EL150800453113,50,49,49,1,3.34835340507052,3.6002271144898,-6.3245918366656e-07
EL150800453773,50,49,49,1,3.35636661481889,3.60005648255102,-1.24120918373732e-07
EL150800460466,50,49,49,1,3.38660910314605,3.60015858010204,1.97918367180334e-08
EL150800460478,50,49,49,1,3.3948799903618,3.60028308714286,-2.13013265313128e-07
EL150800460485,50,49,49,1,3.36814923645364,3.60005524653061,-9.4372448973295e-08
EL150800460486,50,49,49,1,3.33251252350452,3.60027586887755,-1.39873469402227e-07
EL150800460498,50,49,49,1,3.41414357253727,3.60008183581633,-6.39262244894868e-07
EL150800460501,50,49,49,1,3.4272382593392,3.60036329040816,-9.46413265347563e-08
EL150800460506,50,49,49,1,3.35312522235647,3.60028117459184,1.96355612244993e-07
EL150800460507,50,49,49,1,3.35217760232962,3.60013329,9.35500510165069e-07
EL150800460511,50,49,49,1,3.41017618105169,3.60030084183673,2.50561224713716e-08
EL150800460513,50,49,49,1,3.42362653553858,3.60005128153061,-6.83944897936018e-07
EL150800460518,50,49,49,1,3.41286316621553,3.60022756459184,1.95659081634363e-06
EL150800460522,50,49,49,1,3.35175589410563,3.60028246153061,-5.18530612219028e-08
EL150800460525,50,49,49,1,3.36380548782147,3.60029653306122,-2.50982142842651e-07
EL150800460602,50,49,49,1,3.38483190545309,3.60021094479592,-6.16088775502563e-07
EL150800460603,50,49,49,1,3.39594132796412,3.60028150132653,-3.09142857234407e-08
EL150800460604,50,49,49,1,3.4026943719001,3.60018056653061,-3.64163775508393e-07
EL150800460608,50,49,49,1,3.39640689025171,3.6001840555102,3.22193877413121e-08
EL150800460611,50,49,49,1,3.393743949216,3.60028516897959,1.20284183658967e-07
EL150800460613,50,49,49,1,3.39611662237617,3.60010517744898,-2.84529591847526e-07
EL150800460614,50,49,49,1,3.39199527068038,3.60028139204082,-3.46607142955098e-08
EL150800460615,50,49,49,1,3.35039291304904,3.60028591255102,-6.8530918370608e-07
EL150800460618,50,49,49,1,3.36456343407215,3.60005285204082,-4.4190816331126e-08
EL150800460627,50,49,49,1,3.4053045975726,3.60029917693878,-2.36561734690811e-07
EL150800460628,50,49,49,1,3.40164198891995,3.60030480071429,3.03086734996589e-08
EL150800460630,50,49,49,1,3.34829391044878,3.60016433102041,-4.23247448971407e-07
EL150800460634,50,49,49,1,3.45528327864131,3.60019212255102,3.68746224490322e-06
EL150800460640,50,49,49,1,3.35016101776871,3.60016885030612,-2.85678571423532e-08
EL150800460641,50,49,49,1,3.39618984935533,3.6002985594898,-1.97097959188605e-07
EL150800460655,50,49,49,1,3.40261117501876,3.6002779244898,-1.24260204102737e-07
EL150800460659,50,49,49,1,3.3513297674957,3.60025968418367,-1.22318418364226e-06
EL150800463208,50,49,49,1,3.42378808142328,3.60028573510204,3.85801530596963e-07
EL150800463229,50,49,49,1,3.3635794581584,3.60005650581633,-1.18692857142513e-07
EL150800463871,50,49,49,1,3.34354217107404,3.60022594438775,-7.55265306312687e-08
EL150800463882,50,49,49,1,3.35210435237042,3.60021739469388,-2.60893367349732e-07
EL150800464881,50,49,49,1,3.35452690770128,3.60028046459184,1.15855102034916e-07
EL150800464883,50,49,49,1,3.340446405661,3.60027988632653,1.00981632665386e-07
EL150800464977,50,49,49,1,3.33975615550275,3.60028197397959,2.58994898095526e-08
EL150800465027,50,49,49,1,3.35183316053925,3.60018306785714,-3.10327040812262e-07
