barcode,dataset_table9,dataset_role,policy_table9,window_k,window_cycle_start,window_cycle_end,expected_cycle_count,QDischarge_valid_count,QDischarge_valid_ratio,QCharge_valid_count,QCharge_valid_ratio,IR_valid_count,IR_valid_ratio,Tmax_valid_count,Tmax_valid_ratio,Tavg_valid_count,Tavg_valid_ratio,Tmin_valid_count,Tmin_valid_ratio,chargetime_valid_count,chargetime_valid_ratio,QDischarge_end,QDischarge_mean,QDischarge_slope,QDischarge_std,QDischarge_delta_cycle2_to_k,QCharge_mean,QCharge_slope,QCharge_delta_cycle2_to_k,IR_end,IR_mean,IR_slope,IR_delta_cycle2_to_k,Tmax_mean,Tavg_mean,Tmin_mean,chargetime_mean,chargetime_slope,QDischarge_recent10_slope
EL150800440551,Train,Train,4.4C(55%)-6C,100,2,100,99,99,1,99,1,99,1,99,1,99,1,99,1,99,1,1.0328457,1.04217313333,-0.000178507823129,0.00514035312783,-0.0151916,1.04218360202,-0.000178301554731,-0.015558,0.01689407,0.0168038180303,-5.24727302412e-06,-0.001034869,35.3357973131,32.440894198,30.1919265657,10.3996342761,0.00198456928468,-0.000171432121212
EL150800453113,Train,Train,5.4C(50%)-3C,100,2,100,99,99,1,99,1,99,1,99,1,99,1,99,1,98,0.989898989899,1.0677497,1.06765688586,2.90493605442e-05,0.00139370720459,0.0066261,1.06696959192,2.90069226964e-05,0.0067805,0.016914751,0.0168399864343,5.75090698825e-07,-0.000253296,37.0561886364,33.1477201044,29.9543032222,10.795610034,-2.9781944947e-05,-2.43672727273e-05
EL150800453240,Prim. Test,Primary,5.4C(60%)-3C,100,2,100,99,99,1,99,1,99,1,99,1,99,1,99,1,99,1,1.0645274,1.08644338283,-0.0002945415906,0.181597017782,-0.0016431,1.23979078182,-0.00452820769326,-0.0016388,0.015891589,0.0180047544141,-5.99189080767e-05,-0.003994543,35.4151183535,31.8310572756,29.9269121919,9.92595631313,-0.000102414409401,-0.000105866060606
EL150800453773,Train,Train,6C(60%)-3C,100,2,100,99,99,1,99,1,99,1,99,1,99,1,99,1,99,1,1.0749754,1.07580150606,-9.43712430427e-06,0.000643116994685,0.0020241,1.07589474444,-1.18515102041e-05,0.0016009,0.016349318,0.0162120569697,2.49561213358e-06,8.8964e-05,37.2985636364,33.6947465634,30.4418677475,10.2315884007,5.98584003304e-05,-7.16060606061e-06
EL150800460436,Prim. Test,Primary,6C(50%)-3C,100,2,100,99,99,1,99,1,99,1,99,1,99,1,99,1,99,1,1.0937657,1.09549164646,-2.1812165739e-05,0.000941440838281,0.0012749,1.09504656566,-2.46965392703e-05,0.0007654,0.016574621,0.0164837756566,1.15217782313e-06,-1.7207e-05,37.7313044242,33.6716976144,30.3651498788,10.1299930471,0.000170806039992,-4.61387878788e-05
EL150800460449,Prim. Test,Primary,4C(4%)-4.85C,100,2,100,99,99,1,99,1,99,1,99,1,99,1,99,1,99,1,1.0809475,1.08206907677,-3.9703030303e-06,0.000783840074756,0.0028791,1.08189836364,-2.64712059369e-06,0.0028571,0.017031098,0.0170067056162,4.75470327767e-07,-0.000133067,37.2925781313,32.8684048775,30.2314929697,10.1419682997,0.000312506988249,-4.30939393939e-05
EL150800460451,Prim. Test,Primary,3.6C(9%)-5C,100,2,100,99,99,1,99,1,99,1,99,1,99,1,99,1,99,1,1.0670482,1.07153185859,-6.00139245516e-05,0.00203952710923,-0.0020039,1.07079068384,-5.75903599258e-05,-0.0014873,0.017686415,0.0177651338182,-3.53682274583e-06,-0.000579358,38.7182813232,33.4078370103,30.1280282222,10.1095770539,0.00020311502783,-0.000165943030303
EL150800460466,Train,Train,4C(13%)-5C,100,2,100,99,99,1,99,1,99,1,99,1,99,1,99,1,99,1,1.0705185,1.07421061414,-4.14573419913e-05,0.00152485820384,-0.0011862,1.07317626263,-3.96275027829e-05,-0.0008712,0.017084051,0.017195567202,-3.23017072356e-06,-0.00052274,37.2362767172,33.2089815953,30.5272279091,10.1357284848,0.000597664667078,-0.000125932121212
EL150800460468,Prim. Test,Primary,5.4C(40%)-3.6C,100,2,100,99,99,1,99,1,99,1,99,1,99,1,99,1,99,1,1.0876312,1.08769984848,1.82043858998e-05,0.000972254517262,0.004657,1.08740015657,1.95294681509e-05,0.0055446,0.016944561,0.0168353652323,9.21257365492e-07,-3.3666e-05,35.9849336566,32.6415336113,30.276260303,11.2418576094,0.000260833869307,-1.3036969697e-05
EL150800460473,Prim. Test,Primary,6C(20%)-4.5C,100,2,100,99,99,1,99,1,99,1,99,1,99,1,99,1,99,1,1.082616,1.08312194444,1.18411737786e-05,0.00090022709887,0.0045921,1.08318463838,1.16169103278e-05,0.0046366,0.017301504,0.0172180923434,1.54813730365e-06,-9.2953e-05,38.0119229192,33.13768963,30.3485490303,10.1368284343,0.000324835992579,-6.91757575758e-05
EL150800460474,Prim. Test,Primary,6C(40%)-4C,100,2,100,99,99,1,99,1,99,1,99,1,99,1,99,1,99,1,1.0763599,1.07634957172,2.22731280148e-05,0.00106718944396,0.0054729,1.07624021111,2.21511948052e-05,0.0054988,0.017802216,0.0176766118586,3.70252096475e-06,0.000186326,37.8342116465,33.0283371738,30.2787306162,10.1323992424,-0.000155249247578,-2.25672727273e-05
EL150800460477,Prim. Test,Primary,5.4C(70%)-3C,100,2,100,99,99,1,99,1,99,1,99,1,99,1,99,1,99,1,1.0816909,1.08246105758,-6.95091032777e-06,0.000638078458982,0.0023975,1.08235192121,-9.21659987631e-06,0.0018752,0.016928671,0.0168240025859,1.38948045764e-06,-9.144e-06,34.8727843939,31.9907745472,29.8094440808,11.4586917845,0.000135713110699,-2.04296969697e-05
EL150800460478,Train,Train,4.4C(24%)-5C,100,2,100,99,99,1,99,1,99,1,99,1,99,1,99,1,99,1,1.073837,1.07458268687,2.05658961039e-05,0.00182566821654,0.0081902,1.07424625253,1.70164514533e-05,0.0070843,0.017275661,0.0173824540808,-1.85923813234e-06,-0.000504403,34.2782894141,31.4302775232,29.5784017374,10.1487357576,0.000362962399506,-7.102e-05
EL150800460480,Prim. Test,Primary,4.4C(47%)-5.5C,100,2,100,99,99,1,99,1,99,1,99,1,99,1,99,1,99,1,1.0588086,1.06412339293,-8.15630884354e-05,0.0025472312263,-0.0050294,1.06419109495,-8.04801447124e-05,-0.0048524,0.017100986,0.0171110788889,-3.96460717378e-06,-0.000435537,37.3385572222,32.9567744051,30.0417080101,10.1972261953,0.000783897732426,-0.000141641818182
EL150800460481,Prim. Test,Primary,6C(40%)-3.6C,100,2,100,99,99,1,99,1,99,1,99,1,99,1,99,1,99,1,1.0953494,1.09706840505,-2.62010822511e-05,0.000977150332031,0.0007102,1.09678826263,-2.76533370439e-05,0.0003445,0.016962912,0.0168655661414,1.37854413111e-06,1.0658e-05,30.7091411616,30.3753967452,30.0090556465,10.1269575589,2.81195835901e-05,-4.08012121212e-05
EL150800460485,Train,Train,7C(40%)-3.6C,100,2,100,99,99,1,99,1,99,1,99,1,99,1,99,1,99,1,1.0847102,1.08684207172,-3.36154607297e-05,0.00112672423387,-5.80000000001e-05,1.08682298283,-3.54729375387e-05,-0.0004458,0.017589169,0.0174138499697,2.92615134199e-06,0.000152771,35.7909586667,32.5533321697,29.9516948182,10.2580494276,-4.26067614931e-05,-5.13927272727e-05
EL150800460486,Train,Train,3.6C(80%)-3.6C,100,2,100,99,99,1,99,1,99,1,99,1,99,1,99,1,99,1,1.0806297,1.0812468798,5.53529251701e-06,0.00118494923013,0.0053285,1.0810921,4.80933209648e-06,0.0053863,0.01699684,0.0167508434141,9.00848801484e-06,-4.1991e-05,34.1606547879,31.3303143069,29.5615040505,13.3746964646,-0.000459801422388,-4.13e-05
EL150800460492,Prim. Test,Primary,5.2C(66%)-3.5C,100,2,100,99,99,1,99,1,99,1,99,1,99,1,99,1,99,1,1.0746909,1.07467788081,2.09268249845e-05,0.00113021676036,0.00584,1.0746804404,1.68236252319e-05,0.0061691,0.017513853,0.0175742370909,1.46458413111e-06,-0.00014857,37.8555709495,33.4311224107,30.5986783232,10.1582173737,-0.000140373428159,-5.00187878788e-05
EL150800460498,Train,Train,6C(31%)-4.25C,100,2,100,99,99,1,99,1,99,1,99,1,99,1,99,1,99,1,1.0790776,1.07961432525,1.25112282004e-05,0.00107891612384,0.005513,1.07947161717,1.30477501546e-05,0.0054491,0.018218031,0.018126860101,2.1003262585e-06,9.0351e-05,37.7873629293,33.0117400678,30.2732259697,10.1313959933,0.000206376376004,-2.66157575757e-05
EL150800460501,Train,Train,4.65C(69%)-6C,100,2,100,99,99,1,99,1,99,1,99,1,99,1,99,1,99,1,1.0714235,1.07550695253,-6.65533568336e-05,0.00203615719424,-0.0030974,1.07522671414,-6.63525491651e-05,-0.0030954,0.017051566,0.0171471901414,-4.26269805813e-06,-0.00082546,35.9038632828,32.2523706674,29.9717867879,10.3141906229,0.000879860296846,-0.000125752121212
EL150800460506,Train,Train,6C(50%)-3.6C,100,2,100,99,99,1,99,1,99,1,99,1,99,1,99,1,99,1,1.0802411,1.0812765596,-7.18304390847e-06,0.00070684497492,0.0024096,1.08106418586,-9.47398392084e-06,0.0019217,0.016568536,0.0164377462626,2.42614243661e-06,8.7852e-05,33.9708787576,32.0468820569,30.2783527374,11.55480367,9.83346114219e-05,-4.10218181818e-05
EL150800460507,Train,Train,6C(30%)-3.6C,100,2,100,99,99,1,99,1,99,1,99,1,99,1,99,1,99,1,1.0796947,1.08069562929,-7.72668027211e-06,0.00057790635155,0.0019472,1.07987403737,-9.828139765e-06,0.0015109,0.016805848,0.0166800375455,2.07384486085e-06,6.3771e-05,37.4911578788,33.773800525,30.6286454545,11.1382535859,0.000155127458256,-3.48054545455e-05
EL150800460510,Prim. Test,Primary,4C(31%)-5C,100,2,100,99,99,1,99,1,99,1,99,1,99,1,99,1,99,1,1.0600308,1.06895330707,-0.000148013079777,0.00437147442524,-0.0112451,1.06886856566,-0.000144755649969,-0.0109131,0.01617695,0.0163440222929,-5.21730583797e-06,-0.000956277,38.4334601818,33.6004895121,30.4079539697,10.1663418855,0.000619366625438,-0.000243721212121
EL150800460511,Train,Train,5.6C(38%)-4.25C,100,2,100,99,99,1,99,1,99,1,99,1,99,1,99,1,99,1,1.081265,1.08068363939,3.50503784787e-05,0.00130508208154,0.0064484,1.08035569596,3.42866394558e-05,0.006552,0.018319724,0.0181525049091,2.92554791589e-06,9.3412e-05,35.4779788283,31.9453936265,29.7787146768,10.1367326599,-0.000146989919604,-3.17636363636e-05
EL150800460513,Train,Train,5.6C(65%)-3C,100,2,100,99,99,1,99,1,99,1,99,1,99,1,99,1,99,1,1.0736984,1.07473164646,1.66465652443e-05,0.00118041367294,0.0054935,1.07453921717,1.76627322202e-05,0.0057614,0.01785991,0.0177889226263,3.87324638219e-07,-7.859e-05,37.452133596,33.1325231504,30.281169101,10.1416923064,-6.47497629354e-05,-6.88818181818e-05
EL150800460514,Prim. Test,Primary,3.6C(80%)-3.6C,100,2,100,99,99,1,99,1,99,1,99,1,99,1,99,1,99,1,1.0759126,1.08059657475,-0.000206807012987,0.0463266101834,0.0052234,1.08043401313,-0.000208597497835,0.0046838,0.016667154,0.0166433220404,-6.10791205937e-07,-7.52e-05,35.376748303,31.6037473288,29.3452688788,13.3842305051,-7.99767264483e-05,3.53236363636e-05
EL150800460518,Train,Train,1C(4%)-6C,100,2,100,99,99,1,99,1,99,1,99,1,99,1,99,1,99,1,1.038452,1.06074736162,-0.000354730761905,0.0106268789787,-0.0316021,1.06063636263,-0.000345218967223,-0.0287168,0.017292464,0.0169172437475,2.42541365492e-06,-0.00021299,32.1576796263,30.0487134461,28.121771596,10.3747734848,0.00350910424655,-0.000696794545455
EL150800460522,Train,Train,5.4C(50%)-3.6C,100,2,100,99,99,1,99,1,99,1,99,1,99,1,99,1,99,1,1.0769763,1.07710623636,1.78862312925e-05,0.00104878090349,0.0049243,1.0768656303,1.5934707483e-05,0.0046835,0.016800802,0.0166762275354,1.52904531849e-06,2.2163e-05,35.4327625758,32.0887538585,29.5100721111,10.1381120539,0.000205275757576,-1.26757575758e-05
EL150800460525,Train,Train,6C(50%)-3C,100,2,100,99,99,1,99,1,99,1,99,1,99,1,99,1,99,1,1.0794187,1.08006998889,-3.12964749536e-07,0.00072360459833,0.0028013,1.08004970404,-1.47237476809e-06,0.0023834,0.016954124,0.0168551970808,1.43022223871e-06,-2.8376e-05,36.0825262929,32.6645516751,29.9883312222,11.035507963,0.000239198804371,-3.00909090909e-05
EL150800460526,Prim. Test,Primary,5.6C(5%)-4.75C,100,2,100,99,99,1,99,1,99,1,99,1,99,1,99,1,99,1,1.0798434,1.08125219899,-1.99306790353e-05,0.00167403310284,0.0032915,1.08165775556,-1.03799962894e-05,0.0042417,0.017112505,0.0171966237071,-1.76274993197e-06,-0.000469548,38.1993283131,33.3410543545,30.3939905859,10.1356435522,8.05168418887e-05,-5.3973939394e-05
EL150800460527,Prim. Test,Primary,5.2C(10%)-4.75C,100,2,100,99,99,1,99,1,99,1,99,1,99,1,99,1,99,1,1.071249,1.07215122525,8.45844403216e-06,0.00099116282116,0.0039688,1.0719712303,9.267711812e-06,0.0040492,0.017473349,0.0174974651212,-8.95280247372e-07,-0.00031568,36.5323528687,32.4065313608,29.9849837778,10.1386878283,6.60554730989e-05,-6.41715151515e-05
EL150800460528,Prim. Test,Primary,5.6C(25%)-4.5C,100,2,100,99,99,1,99,1,99,1,99,1,99,1,99,1,99,1,1.0852383,1.0851718798,2.40557600495e-05,0.00125491069198,0.0055073,1.0848497303,2.11569016698e-05,0.0057004,0.020315139,0.0201881499798,2.2979842919e-06,9.9549e-05,38.1359630505,33.4146512423,30.3343844646,10.1404305051,0.000166997485055,-3.11860606061e-05
