barcode,window_k,raw_expected_cycle_count,raw_valid_count,raw_valid_ratio,raw_charge_v_mean_mean,raw_charge_v_p95_mean,raw_charge_v_p95_slope
EL150800440551,20,19,19,1,3.43706094840796,3.60035093842105,-2.19684210481974e-07
EL150800453113,20,19,19,1,3.35370674507251,3.60024093342105,1.14657894707346e-07
EL150800453773,20,19,19,1,3.35838402731654,3.60005732789474,-9.99035087721392e-07
EL150800460466,20,19,19,1,3.38867213199864,3.60015454526316,-4.01385964945449e-07
EL150800460478,20,19,19,1,3.39809714164393,3.60028602578947,-2.85175438523459e-07
EL150800460485,20,19,19,1,3.3696815762972,3.60005601657895,6.64850877179667e-07
EL150800460486,20,19,19,1,3.33124638158157,3.60027871315789,-2.72192982326651e-08
EL150800460498,20,19,19,1,3.41797810558472,3.60009068605263,-3.40191228066034e-06
EL150800460501,20,19,19,1,3.43188200001036,3.60036572236842,-6.75526316244309e-08
EL150800460506,20,19,19,1,3.35491847751722,3.60026945184211,-3.23233333330758e-06
EL150800460507,20,19,19,1,3.35398848661313,3.60012856710526,2.47080701753332e-06
EL150800460511,20,19,19,1,3.41416808401087,3.60030009657895,-9.52157894692749e-07
EL150800460513,20,19,19,1,3.42677198820707,3.60005855552632,-3.2808947368564e-06
EL150800460518,20,19,19,1,3.41510380471759,3.600200005,6.71710526346559e-07
EL150800460522,20,19,19,1,3.3542993946769,3.6002822581579,-6.81324561439234e-07
EL150800460525,20,19,19,1,3.3653731813038,3.60030226263158,8.97333333384363e-07
EL150800460602,20,19,19,1,3.38828061331596,3.60021840421053,6.98649122866042e-07
EL150800460603,20,19,19,1,3.40012812735841,3.60028302921053,-3.81640350856041e-07
EL150800460604,20,19,19,1,3.40875386445035,3.60018606947368,9.53447368434962e-07
EL150800460608,20,19,19,1,3.40141565375246,3.600182375,-2.46333333309587e-07
EL150800460611,20,19,19,1,3.39699919224448,3.60028322578947,-9.5302631579474e-07
EL150800460613,20,19,19,1,3.39786510330385,3.60010697894737,-6.99394736824343e-07
EL150800460614,20,19,19,1,3.3940694031913,3.60028294552632,8.60350877212526e-08
EL150800460615,20,19,19,1,3.35399139085616,3.6002987531579,-2.13350877200827e-07
EL150800460618,20,19,19,1,3.36441641202553,3.60005658947368,-1.25578947301688e-07
EL150800460627,20,19,19,1,3.40885137465106,3.60030268,-4.014912273561e-08
EL150800460628,20,19,19,1,3.40517654554009,3.60030375394737,-5.13043859640529e-07
EL150800460630,20,19,19,1,3.35337284235913,3.60016604578947,-7.28017543852773e-07
EL150800460634,20,19,19,1,3.46925760642708,3.60014339842105,7.53731578948334e-06
EL150800460640,20,19,19,1,3.35383035869271,3.60016277157895,1.63726315794714e-06
EL150800460641,20,19,19,1,3.40019939793348,3.60030216684211,-1.26429824555274e-07
EL150800460655,20,19,19,1,3.40680664279529,3.60028177631579,2.9946491235444e-07
EL150800460659,20,19,19,1,3.35274773136282,3.60027875526316,-6.87552631583767e-07
EL150800463208,20,19,19,1,3.42589962372632,3.60028037578947,2.83464912288777e-07
EL150800463229,20,19,19,1,3.36194524353481,3.60005700605263,2.71421052654689e-07
EL150800463871,20,19,19,1,3.34636113772794,3.60022853157895,-1.90745614015755e-07
EL150800463882,20,19,19,1,3.35506210205305,3.60022521026316,3.82754385957462e-07
EL150800464881,20,19,19,1,3.3553619098046,3.60027859789474,4.06745614019842e-07
EL150800464883,20,19,19,1,3.34127531060242,3.60027991868421,4.96500000007694e-07
EL150800464977,20,19,19,1,3.34183675450881,3.6002807068421,1.09077192986785e-06
EL150800465027,20,19,19,1,3.3530799420343,3.60019129052632,1.84598245623655e-06
