k,fold,barcode,policy_table9,cycle_life_table9,pred_log_life,pred_cycle_life,life_sq_error,life_abs_error,future_points,soh_mse,soh_mae,soh_iae,status
5,1,EL150800453113,5.4C(50%)-3C,719.0,6.364200003597891,580.6801004603568,0.04565117424574058,0.2136613541231558,713,0.0023162230725790795,0.03325450636088826,23.71046303531333,success
5,1,EL150800460478,4.4C(24%)-5C,494.0,6.340802538954494,567.2513700774842,0.01911776930819758,0.13826702176657157,488,0.0006074680337594669,0.014883622398069517,7.263207730257925,success
5,1,EL150800460511,5.6C(38%)-4.25C,478.0,6.233087959872421,509.32583539781973,0.00402935839597467,0.06347722738096451,472,0.0001693387145232182,0.009787857496082639,4.6198687381510055,success
5,1,EL150800460518,1C(4%)-6C,300.0,6.76134908205745,863.8067562647695,1.1184471290901872,1.0575666074012489,294,0.006115187058578935,0.06215961980294531,18.27492822206592,success
5,1,EL150800460608,5.2C(37%)-4.5C,492.0,6.377559193456704,588.4895640786567,0.03206981722979552,0.17908047696439588,486,0.0007723634406380997,0.015026449198323936,7.302854310385433,success
5,1,EL150800460611,4.8C(80%)-4.8C,461.0,6.405078375126411,604.9092066562546,0.07381020286613818,0.2716803321297627,455,0.0013969658726540653,0.023381210770865156,10.638450900743646,success
5,1,EL150800460613,6C(4%)-4.75C,487.0,6.2507806260328325,518.417356838248,0.003908313141127717,0.0625165029502428,481,0.0001317451170823861,0.006925463021341214,3.331147713265124,success
5,1,EL150800460614,4.9C(27%)-4.75C,468.0,6.316816598988658,553.8071929405567,0.028341151146888937,0.1683483030710109,462,0.0007192616390091159,0.015563535320605856,7.1903533181199055,success
5,1,EL150800465027,4.8C(80%)-4.8C,870.0,6.668008279653431,786.8269036213497,0.010097221558079775,0.10048493199519903,864,0.0006545413416713763,0.015318385479125791,13.235085053964683,success
5,2,EL150800460486,3.6C(80%)-3.6C,2160.0,6.922355320646664,1014.7071428653836,0.5707926100945788,0.755508180031546,2154,0.007552351482074879,0.06765529524216156,145.729505951616,success
5,2,EL150800460498,6C(31%)-4.25C,462.0,6.12789889414695,458.4718500876992,5.8767509004183774e-05,0.007665996934788311,456,4.512892109412309e-05,0.006365742278265849,2.9027784788892275,success
5,2,EL150800460501,4.65C(69%)-6C,527.0,6.1921026624490825,488.8729610891748,0.005639692495529056,0.07509788609227996,521,0.00024091569105033788,0.008794652360663305,4.582013879905582,success
5,2,EL150800460522,5.4C(50%)-3.6C,857.0,6.295298813291201,542.0177843153094,0.20989143981111236,0.45813910530657864,851,0.006327720812461994,0.058523535318267275,49.80352855584545,success
5,2,EL150800460525,6C(50%)-3C,742.0,6.52044492193075,678.8803669189451,0.007903978334545989,0.0889043212366305,736,0.0007785574137384039,0.019050895813867604,14.021459319006556,success
5,2,EL150800460618,7C(40%)-3C,702.0,6.656584807161087,777.8897519727323,0.010537310565640971,0.1026514031352761,696,0.0006030189037671774,0.012996906159719566,9.045846687164818,success
5,2,EL150800460659,5.4C(80%)-5.4C,870.0,6.667002694539563,786.0360798868052,0.010300325063065772,0.10149051710906676,864,0.0006839312629245003,0.01649730496108461,14.253671486377103,success
5,2,EL150800464977,4C(80%)-4C,1434.0,6.812026037468822,908.7100237137307,0.20811568792853236,0.45619698369074335,1428,0.005195936535638232,0.05054404018340804,72.17688938190668,success
5,3,EL150800460485,7C(40%)-3.6C,616.0,6.352073682811524,573.6811090605913,0.005065635888732019,0.0711732807219958,610,0.00013458190569327086,0.006928365070085009,4.226302692751855,success
5,3,EL150800460506,6C(50%)-3.6C,704.0,7.049070612295114,1151.7877877856654,0.242351665452528,0.4922922561370715,698,0.0022106589332500657,0.026384343155667515,18.416271522655926,success
5,3,EL150800460507,6C(30%)-3.6C,860.0,6.720645147458837,829.3523935131816,0.0013167639166327292,0.036287241788715896,854,3.779650324350175e-05,0.0034475903195852835,2.944242132925832,success
5,3,EL150800460603,4.65C(19%)-4.85C,489.0,6.276938120130722,532.1567666727993,0.007153037300834651,0.08457563065584939,483,0.0005497348795983623,0.01692654089315513,8.175519251393927,success
5,3,EL150800460630,5.4C(70%)-3C,1017.0,7.050545710027159,1153.4880410507933,0.015859199569632502,0.12593331397859941,1011,0.0006525171300016597,0.015038051950756087,15.203470522214404,success
5,3,EL150800460634,3.6C(30%)-6C,511.0,6.403448808432105,603.9242694883682,0.027915465163813605,0.16707921822840088,505,0.0034619402563208133,0.05069989831310737,25.60344864811922,success
5,3,EL150800463208,4C(40%)-6C,483.0,6.388191509817187,594.7799527413558,0.04333677073915789,0.2081748561646144,477,0.0020611363682322176,0.034489597875559,16.451538186641642,success
5,3,EL150800463882,5.4C(40%)-3.6C,788.0,6.822517769314311,918.2941547588701,0.023415022300949204,0.15301967945643202,782,0.0006014813682919103,0.012693298891230265,9.926159732942068,success
5,4,EL150800460466,4C(13%)-5C,477.0,6.212912619138559,499.1529786146971,0.00206080846011022,0.04539612825021777,471,0.0003662226398436318,0.014180424372605102,6.678979879497003,success
